10
10 30
25 27 7002
2 11 966
3 5 5198
10 27 5120
7 28 2119
8 29 539
3 20 7046
17 27 699
7 17 7065
11 22 6596
100 500
166 471 2793
209 332 8157
432 498 6930
321 393 1395
90 140 4737
246 386 4257
137 302 2868
84 429 3405
444 466 7326
38 456 70
311 497 6377
96 421 6492
435 480 5024
166 270 2689
49 331 8188
226 305 8126
192 192 1983
134 140 1879
115 245 7007
273 334 4227
346 388 1733
66 296 9285
47 162 4566
39 168 7440
261 465 7041
280 342 491
151 427 9209
168 381 4752
35 400 8596
125 262 6107
44 49 8308
15 294 1984
435 499 7445
275 285 876
179 383 2216
7 425 1344
207 450 158
125 158 363
334 395 3417
153 400 6055
49 105 4159
180 199 8358
88 453 6207
98 305 3438
360 390 4521
298 396 4321
105 330 7976
65 95 3185
77 398 3762
53 57 852
196 318 5618
204 500 2835
164 343 3365
299 370 1001
43 482 5876
222 478 762
63 322 7088
235 353 7760
190 375 8788
7 252 141
140 480 5447
191 274 7597
101 181 1184
2 389 811
226 409 3230
2 58 1703
228 302 4407
291 391 5621
106 239 3233
37 218 9912
193 430 1327
109 209 8208
111 363 7485
128 226 7857
52 492 7023
85 493 6646
1 481 790
221 471 5542
74 429 3028
100 189 8004
171 463 514
257 349 6444
66 395 7006
125 350 2636
76 394 4074
132 362 3328
51 87 3474
185 284 2754
114 181 3774
397 441 1937
297 345 6056
245 331 7729
264 374 6047
203 469 6547
117 147 1037
99 497 9461
281 380 3268
254 351 2156
309 408 8864
59 286 7104
100 1000
110 460 5144
56 627 5321
34 668 8198
493 523 3640
125 610 2153
373 547 3704
598 744 5976
307 381 9717
126 947 8761
77 961 4957
273 769 7745
15 208 4566
548 551 2527
10 968 5519
259 458 4707
128 326 1915
309 916 2468
367 636 4026
386 873 2738
118 497 3482
189 258 9176
877 944 861
302 320 6406
383 444 6588
371 772 8909
668 882 5404
351 816 5035
387 795 1679
261 803 6904
141 697 7213
118 364 9058
221 754 4963
815 868 8021
284 523 1645
341 957 2111
472 930 6063
33 731 4770
274 929 8138
54 415 3802
275 869 7388
171 446 6881
1 380 6776
716 975 48
85 260 2023
675 824 1913
432 659 1294
163 346 6722
96 593 9906
194 614 3316
911 949 9976
24 777 1747
129 512 4897
39 171 1856
114 185 6901
919 953 573
368 875 2334
896 965 2543
56 561 1080
446 947 5754
317 884 6616
180 554 1721
111 243 217
594 635 3933
544 579 1950
361 591 1287
328 661 356
275 287 8376
78 655 9254
769 965 3896
568 598 887
25 104 7653
229 522 9674
859 939 9951
315 866 678
162 486 9056
123 353 4056
342 715 6320
93 567 8936
665 672 9226
281 308 3008
577 947 4280
176 693 2713
469 831 4806
109 343 7063
421 422 8484
748 999 6951
294 440 5645
121 777 2344
94 835 2695
712 893 7656
380 813 5707
467 920 2544
25 449 3479
1 640 2625
249 874 2497
386 437 6415
53 149 5247
390 741 4686
398 569 4131
71 144 1388
500 10000
5477 9440 796
8420 8422 2495
313 9288 1034
1922 6653 3952
3553 3766 7489
5964 9536 7159
2819 6688 930
7813 8594 2583
5380 6734 8741
9072 9942 2605
421 9710 347
6267 8062 6805
1141 2815 4722
4490 5317 8108
1030 1740 9993
4188 9059 7341
6950 9962 7495
6477 8534 1557
487 5825 2486
2067 8440 4873
7732 8252 3349
1045 7780 282
497 740 1181
2160 6551 6855
3913 8688 5299
309 4249 4067
2686 2705 9983
5134 9750 6520
8514 9447 7499
140 2381 7932
7294 8121 1920
380 5263 705
45 483 6605
444 1114 7026
63 2518 6504
5773 9842 3948
940 9952 585
535 9813 1307
2504 5728 884
7162 8577 2230
4893 9091 407
3223 4450 9165
2230 3939 3493
665 3477 3985
1650 3286 2305
4182 9211 9524
3424 8885 1742
589 6934 386
495 6714 1094
1134 6533 8558
2982 5969 6360
4580 7832 7169
5792 7948 2007
4106 8188 2224
6104 6133 224
3576 6491 9646
7587 9683 3755
7716 8434 2289
1356 4179 4454
4023 9810 3384
1984 5732 173
7611 9629 3325
1673 5732 9821
563 4996 1990
483 9749 4411
1942 7189 3329
2297 6581 9391
124 4965 3456
2654 7104 8758
1034 4172 979
536 3659 8920
6084 7067 6741
5306 6225 8023
2821 4606 3721
2775 5372 1320
4112 4547 8437
737 6841 6262
6114 8811 190
3841 9068 772
220 7916 8966
4877 5249 5891
8376 8789 6611
3447 7604 8004
1233 6429 2209
4229 7263 5423
7246 7997 4922
5817 6352 3589
1761 3198 4531
5305 7910 6433
2416 9749 3275
1933 3095 5798
1 1261 6991
4444 4895 5332
9000 9527 5105
3360 7878 6796
5613 8855 5177
3962 6994 7238
4879 6361 7419
3601 9819 3200
2046 6836 6075
3842 4955 9577
5882 7917 3902
407 4715 8493
8199 9597 3506
5258 6232 931
5997 8746 6783
4647 6346 4533
4261 7332 9200
3745 5910 6144
57 2535 7052
6111 8203 1516
3072 6316 4969
5892 8205 4972
7363 9708 2674
3905 6273 41
7107 8332 9063
3711 9594 7516
2632 7889 758
1075 1960 4730
3859 8553 1737
6690 8723 7396
8735 9069 8607
7475 9562 1135
3523 4337 1102
1663 7056 640
42 7237 5560
2319 4022 9916
4748 8405 460
1226 2674 2638
5147 5364 3296
1695 7678 7721
1059 4929 1949
3827 7429 1488
7249 8704 8876
6937 7149 3940
235 8270 6143
3453 7145 8605
179 4704 6225
6605 8567 2139
4072 6040 98
6383 8722 5839
4128 7628 1453
2809 4897 228
1865 6808 1291
7614 9378 7716
282 7087 7229
974 7777 7800
6011 6775 9701
1707 2415 446
5155 6380 230
4852 6829 817
6095 9882 6701
4935 7552 5045
1163 5665 5023
6494 8988 4818
2761 4578 2179
6110 7521 1874
1974 6066 4339
1461 2692 4557
798 8080 4190
1854 2123 9172
6357 7927 1697
2308 7537 8412
4108 5003 8455
4809 7014 5709
7986 8161 9101
1755 7875 2427
1198 9648 1227
3347 5075 1332
1 8839 3503
4701 6191 378
7519 8391 3883
1829 8932 1123
6079 7297 4049
5157 6474 4862
1199 7400 7053
2363 7584 5384
2828 6031 9059
5321 8950 3775
2264 9325 5019
6176 7176 5366
2821 4665 2953
1022 7517 9018
839 6608 465
4080 7029 9731
3194 4955 4106
3726 5214 7678
3682 8528 4864
968 5157 8393
3629 8763 1088
4174 9041 2384
2835 5129 3792
1181 4166 8039
261 8510 9389
4425 5399 4056
1875 6247 200
629 1423 3519
7563 9475 1554
687 7851 3828
3822 7191 5958
1990 9645 280
70 1807 5415
7184 8920 6243
8745 9428 7020
387 3065 540
6587 8739 4489
4547 5687 2618
3714 7996 558
1831 7995 2761
2539 3579 7765
5764 9552 8832
691 9270 631
6989 7190 7202
1830 6367 495
4868 5462 3603
6811 8155 7651
6195 8301 1677
4235 7516 896
4590 8756 8659
2107 3262 8261
8009 8669 6853
3097 3736 3633
